0.010,-0.045,-0.071,-1.601,-0.692
0.020,-0.045,-0.065,-1.547,-1.194
0.030,-0.037,-0.066,-1.490,0.245
0.040,-0.041,-0.059,-1.432,-0.157
0.050,-0.035,-0.063,-1.374,-3.235
0.060,-0.038,-0.057,-1.318,-5.208
0.070,-0.037,-0.062,-1.265,-5.141
0.080,-0.040,-0.055,-1.214,-1.194
0.090,-0.036,-0.064,-1.165,1.081
0.100,-0.041,-0.060,-1.116,-0.792
0.110,-0.036,-0.064,-1.066,-2.064
0.120,-0.038,-0.059,-1.015,0.077
0.130,-0.035,-0.062,-0.960,1.951
0.140,-0.037,-0.057,-0.901,2.720
0.150,-0.032,-0.063,-0.836,2.285
0.160,-0.035,-0.055,-0.767,1.549
0.170,-0.030,-0.060,-0.696,2.285
0.180,-0.032,-0.052,-0.622,3.055
0.190,-0.025,-0.049,-0.546,2.587
0.200,-0.021,-0.029,-0.469,1.081
0.210,-0.012,-0.016,-0.394,0.445
0.220,-0.008,-0.002,-0.320,0.044
0.230,0.013,-0.010,-0.246,0.144
0.240,0.017,0.001,-0.171,0.345
0.250,0.008,-0.011,-0.096,0.011
0.260,-0.008,-0.034,-0.021,0.077
0.270,-0.004,-0.060,0.051,0.546
0.280,-0.023,-0.060,0.119,0.981
0.290,-0.040,-0.068,0.182,2.051
0.300,-0.046,-0.063,0.240,1.583
0.310,-0.039,-0.067,0.291,1.014
0.320,-0.042,-0.059,0.336,0.880
0.330,-0.038,-0.058,0.376,0.512
0.340,-0.041,-0.050,0.412,0.312
0.350,-0.060,-0.069,0.442,-0.023
0.360,0.002,0.083,0.467,0.780
0.370,0.312,0.660,0.487,0.981
0.380,0.482,1.175,0.502,0.780
0.390,0.259,0.694,0.513,0.613
0.400,-0.022,0.050,0.520,-0.424
0.410,-0.085,-0.122,0.524,5.196
0.420,-0.050,-0.085,0.526,6.835
0.430,-0.045,-0.106,0.527,-1.160
0.440,-0.053,-0.102,0.526,-4.573
0.450,-0.045,-0.100,0.524,-2.900
0.460,-0.045,-0.084,0.520,1.416
0.470,-0.038,-0.080,0.515,4.259
0.480,-0.038,-0.063,0.508,3.356
0.490,-0.031,-0.060,0.501,1.717
0.500,-0.030,-0.047,0.495,2.787
0.510,-0.022,-0.045,0.489,2.051
0.520,-0.019,-0.032,0.483,-0.424
0.530,-0.009,-0.030,0.472,-2.766
0.540,-0.006,-0.014,0.453,-2.331
0.550,0.005,-0.008,0.425,-2.231
0.560,0.011,0.011,0.389,-1.662
0.570,0.025,0.022,0.348,-0.592
0.580,0.034,0.048,0.298,0.312
0.590,0.052,0.065,0.242,1.549
0.600,0.066,0.098,0.181,1.282
0.610,0.085,0.124,0.119,1.014
0.620,0.093,0.158,0.061,0.981
0.630,0.103,0.172,0.009,1.282
0.640,0.091,0.177,-0.037,1.851
0.650,0.069,0.128,-0.078,2.051
0.660,0.026,0.068,-0.117,1.282
0.670,-0.007,-0.002,-0.156,1.115
0.680,-0.034,-0.046,-0.195,0.312
0.690,-0.046,-0.082,-0.233,0.680
0.700,-0.056,-0.094,-0.269,0.111
0.710,-0.054,-0.104,-0.302,-0.157
0.720,-0.058,-0.098,-0.330,-1.160
0.730,-0.053,-0.100,-0.352,-1.428
0.740,-0.055,-0.086,-0.366,-0.826
0.750,-0.050,-0.088,-0.374,0.780
0.760,-0.052,-0.081,-0.377,2.553
0.770,-0.049,-0.083,-0.377,3.022
0.780,-0.051,-0.071,-0.375,3.791
0.790,-0.045,-0.073,-0.370,2.453
0.800,-0.048,-0.065,-0.363,3.490
0.810,-0.042,-0.069,-0.352,4.159
0.820,-0.043,-0.061,-0.338,2.386
0.830,-0.039,-0.067,-0.322,0.880
0.840,-0.042,-0.062,-0.303,-0.491
0.850,-0.035,-0.066,-0.283,-2.800
0.860,-0.037,-0.060,-0.262,-3.903
0.870,-0.033,-0.065,-0.240,-3.402
0.880,-0.033,-0.057,-0.218,-2.398
0.890,-0.028,-0.063,-0.196,-1.763
0.900,-0.030,-0.055,-0.174,-1.629
0.910,-0.026,-0.065,-0.153,-0.391
0.920,-0.029,-0.058,-0.132,0.379
0.930,-0.027,-0.061,-0.112,1.382
0.940,-0.029,-0.053,-0.092,0.981
0.950,-0.024,-0.056,-0.071,0.680
0.960,-0.028,-0.049,-0.051,1.315
0.970,-0.024,-0.053,-0.031,2.085
0.980,-0.026,-0.046,-0.012,2.587
0.990,-0.022,-0.050,0.005,2.285
1.000,-0.026,-0.046,0.022,2.018
1.010,-0.023,-0.048,0.037,1.349
1.020,-0.025,-0.038,0.051,0.813
1.030,-0.020,-0.039,0.064,0.847
1.040,-0.016,-0.022,0.077,0.680
1.050,-0.004,-0.012,0.089,0.780
1.060,-0.003,0.009,0.101,0.044
1.070,0.014,0.007,0.113,-0.759
1.080,0.025,0.017,0.124,-0.357
1.090,0.023,0.013,0.136,-0.725
1.100,0.003,-0.005,0.147,-0.625
1.110,0.007,-0.037,0.157,-0.056
1.120,-0.001,-0.040,0.168,1.014
1.130,-0.021,-0.050,0.178,1.416
1.140,-0.037,-0.053,0.188,1.248
1.150,-0.044,-0.075,0.197,1.315
1.160,-0.054,-0.069,0.206,1.048
1.170,-0.011,-0.030,0.214,0.445
1.180,-0.008,-0.016,0.221,1.014
1.190,-0.033,-0.047,0.228,0.111
1.200,-0.040,-0.008,0.235,0.445
1.210,0.178,0.361,0.242,0.981
1.220,0.491,1.057,0.249,0.178
1.230,0.432,1.027,0.255,-0.190
1.240,0.105,0.311,0.263,-0.725
1.250,-0.070,-0.073,0.271,2.118
1.260,-0.051,-0.069,0.278,7.404
1.270,-0.029,-0.074,0.285,0.646
1.280,-0.040,-0.083,0.290,-6.045
1.290,-0.033,-0.079,0.295,-2.733
1.300,-0.032,-0.066,0.300,-0.056
1.310,-0.026,-0.066,0.306,1.549
1.320,-0.025,-0.053,0.313,2.486
1.330,-0.017,-0.048,0.320,2.152
1.340,-0.017,-0.033,0.330,3.155
1.350,-0.008,-0.033,0.343,3.624
1.360,-0.006,-0.017,0.356,0.479
1.370,0.002,-0.013,0.371,-1.796
1.380,0.005,0.002,0.386,-1.930
1.390,0.015,0.002,0.400,-1.027
1.400,0.019,0.019,0.414,-0.725
1.410,0.033,0.024,0.427,-0.826
1.420,0.041,0.048,0.438,0.379
1.430,0.057,0.064,0.448,0.880
1.440,0.071,0.099,0.458,0.981
1.450,0.090,0.122,0.470,0.412
1.460,0.098,0.158,0.487,0.379
1.470,0.110,0.184,0.511,0.579
1.480,0.108,0.194,0.544,1.148
1.490,0.095,0.160,0.583,0.947
1.500,0.058,0.119,0.626,0.680
1.510,0.023,0.042,0.669,0.713
1.520,-0.010,-0.011,0.713,0.546
1.530,-0.025,-0.054,0.755,0.947
1.540,-0.039,-0.076,0.796,0.412
1.550,-0.041,-0.092,0.835,0.044
1.560,-0.043,-0.089,0.872,-0.458
1.570,-0.040,-0.094,0.908,-1.395
1.580,-0.041,-0.082,0.944,-1.428
1.590,-0.034,-0.087,0.977,1.014
1.600,-0.035,-0.076,1.005,1.549
1.610,-0.030,-0.077,1.028,1.382
1.620,-0.033,-0.067,1.047,3.022
1.630,-0.028,-0.068,1.063,2.787
1.640,-0.030,-0.061,1.076,2.419
1.650,-0.026,-0.065,1.085,2.955
1.660,-0.027,-0.056,1.091,2.219
1.670,-0.021,-0.060,1.095,0.646
1.680,-0.021,-0.053,1.098,-0.424
1.690,-0.019,-0.056,1.099,-1.796
1.700,-0.020,-0.046,1.099,-3.268
1.710,-0.015,-0.051,1.098,-2.599
1.720,-0.017,-0.048,1.099,-1.963
1.730,-0.014,-0.055,1.101,-1.395
1.740,-0.015,-0.047,1.106,-1.160
1.750,-0.011,-0.049,1.110,-0.525
1.760,-0.014,-0.044,1.114,0.211
1.770,-0.010,-0.050,1.116,0.579
1.780,-0.012,-0.044,1.117,1.048
1.790,-0.007,-0.051,1.116,0.713
